,wals_code,Name,genus,family,macroarea,"81A Order of Subject, Object and Verb",82A Order of Subject and Verb,83A Order of Object and Verb,87A Order of Adjective and Noun,143F Postverbal Negative Morphemes,143E Preverbal Negative Morphemes,143A Order of Negative Morpheme and Verb,143G Minor morphological means of signaling negation
2160,squ,Squamish,Central Salish,Salishan,North America,3 VSO,2 VS,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
2162,srb,Sorbian,Slavic,Indo-European,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,2 [Neg-V],3 [Neg-V],4 None
2163,src,Sarcee,Athapaskan,Na-Dene,North America,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2164,srd,Sardinian,Romance,Indo-European,Eurasia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2165,sre,Sre,Bahnaric,Austro-Asiatic,Eurasia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2170,sro,Siroi,Madang,Trans-New Guinea,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
2179,sta,Santa,Mongolic,Altaic,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
2180,sti,Stieng,Bahnaric,Austro-Asiatic,Eurasia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2181,stl,Santali,Munda,Austro-Asiatic,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
2185,sud,Sudest,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2186,sue,Suena,Binanderean,Trans-New Guinea,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2190,sul,Sulka,Sulka,Sulka,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
2192,sun,Sundanese,Malayo-Sumbawan,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2193,sup,Supyire,Gur,Niger-Congo,Africa,1 SOV,1 SV,1 OV,2 Noun-Adjective,1 VNeg,1 NegV,15 OptDoubleNeg,4 None
2199,svs,Savosavo,Savosavo,Solomons East Papuan,Papunesia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
2201,swa,Swahili,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
2202,swe,Swedish,Germanic,Indo-European,Eurasia,2 SVO,1 SV,2 VO,1 Adjective-Noun,1 VNeg,1 NegV,6 Type 1 / Type 2,4 None
2205,swt,Swati,Bantoid,Niger-Congo,Africa,7 No dominant order,3 No dominant order,2 VO,3 No dominant order,2 [V-Neg],2 [Neg-V],14 ObligDoubleNeg,4 None
2208,syu,Salt-Yui,Chimbu,Trans-New Guinea,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
2209,tab,Taba,South Halmahera - West New Guinea,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
2210,tac,Tacana,Tacanan,Tacanan,South America,7 No dominant order,1 SV,1 OV,3 No dominant order,1 VNeg,1 NegV,15 OptDoubleNeg,4 None
2211,taf,Taiof,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2212,tag,Tagalog,Greater Central Philippine,Austronesian,Papunesia,3 VSO,2 VS,2 VO,3 No dominant order,4 None,1 NegV,1 NegV,4 None
2213,tah,Tahitian,Oceanic,Austronesian,Papunesia,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2215,taj,Tajik,Iranian,Indo-European,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
