,wals_code,Name,genus,family,macroarea,"81A Order of Subject, Object and Verb",82A Order of Subject and Verb,83A Order of Object and Verb,87A Order of Adjective and Noun,143F Postverbal Negative Morphemes,143E Preverbal Negative Morphemes,143A Order of Negative Morpheme and Verb,143G Minor morphological means of signaling negation
2470,ven,Venda,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
2472,vie,Vietnamese,Viet-Muong,Austro-Asiatic,Eurasia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2476,vnm,Vinmavis,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,2 [V-Neg],2 [Neg-V],14 ObligDoubleNeg,4 None
2478,wag,Wagiman,Wagiman,Wagiman,Australia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2479,wah,Wahgi,Chimbu,Trans-New Guinea,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2481,wak,Wakhi,Iranian,Indo-European,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
2482,wal,Walman,Wapei-Palei,Torricelli,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2485,wao,Waorani,Waorani,Waorani,South America,1 SOV,1 SV,1 OV,3 No dominant order,2 [V-Neg],4 None,4 [V-Neg],4 None
2486,wap,Wappo,Wappo,Wappo-Yukian,North America,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
2488,was,Washo,Washo,Washo,North America,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
2492,wbn,Wambon,Awju-Dumut,Trans-New Guinea,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
2494,wch,Wichí,Matacoan,Matacoan,South America,2 SVO,1 SV,2 VO,2 Noun-Adjective,2 [V-Neg],1 NegV,8 Type 1 / Type 4,4 None
2497,wed,Wedau,Oceanic,Austronesian,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2498,wel,Welsh,Celtic,Indo-European,Eurasia,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2499,wem,Wembawemba,Southeastern Pama-Nyungan,Pama-Nyungan,,4 VOS,2 VS,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
2505,wic,Wichita,Caddoan,Caddoan,North America,7 No dominant order,3 No dominant order,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2506,wik,Wikchamni,Yokuts,Penutian,North America,7 No dominant order,3 No dominant order,3 No dominant order,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
2509,wiy,Wiyot,Wiyot,Algic,North America,7 No dominant order,1 SV,3 No dominant order,2 Noun-Adjective,2 [V-Neg],1 NegV,15 OptDoubleNeg,4 None
2511,wlf,Wolof,Northern Atlantic,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,2 [V-Neg],1 NegV,8 Type 1 / Type 4,4 None
2516,wly,Wolaytta,North Omotic,Afro-Asiatic,Africa,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
2517,wma,West Makian,North Halmaheran,West Papuan,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
2518,wme,Wambule,Mahakiranti,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,2 [Neg-V],3 [Neg-V],4 None
2520,wmu,Wik Munkan,Northern Pama-Nyungan,Pama-Nyungan,Australia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2522,wna,Wan,Eastern Mande,Mande,Africa,1 SOV,1 SV,1 OV,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
2528,wol,Woleaian,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2529,wom,Womo,Serra Hills,Skou,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
2534,wrd,Wardaman,Yangmanic,Yangmanic,Australia,7 No dominant order,3 No dominant order,3 No dominant order,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2536,wrk,Warekena,Inland Northern Arawakan,Arawakan,South America,2 SVO,1 SV,2 VO,2 Noun-Adjective,2 [V-Neg],1 NegV,14 ObligDoubleNeg,4 None
2537,wrl,Warlpiri,Western Pama-Nyungan,Pama-Nyungan,Australia,7 No dominant order,3 No dominant order,3 No dominant order,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2538,wrm,Warembori,South Halmahera - West New Guinea,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
2545,wsk,Waskia,Madang,Trans-New Guinea,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2555,xam,/Xam,Tu,Tu,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2556,xar,Xârâcùù,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
2559,xbi,Kombio,Kombio-Arapesh,Torricelli,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2561,xho,Xhosa,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
2568,yag,Yagua,Peba-Yaguan,Peba-Yaguan,South America,7 No dominant order,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2572,yam,Yaminahua,Panoan,Panoan,South America,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
2574,yao,Yao (in Malawi),Bantoid,Niger-Congo,Africa,2 SVO,3 No dominant order,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
2575,yap,Yapese,Yapese,Austronesian,Papunesia,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2576,yaq,Yaqui,Cahita,Uto-Aztecan,North America,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
2577,yar,Yareba,Yareban,Yareban,Papunesia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
2597,ygr,Yagaria,Eastern Highlands,Trans-New Guinea,Papunesia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,2 [Neg-V],3 [Neg-V],4 None
2598,yi,Yi,Burmese-Lolo,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2599,yid,Yidiny,Northern Pama-Nyungan,Pama-Nyungan,Australia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2602,yin,Yindjibarndi,Western Pama-Nyungan,Pama-Nyungan,Australia,2 SVO,1 SV,2 VO,3 No dominant order,4 None,1 NegV,1 NegV,4 None
2607,yko,Yukaghir (Kolyma),Yukaghir,Yukaghir,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,2 [Neg-V],3 [Neg-V],4 None
2609,ykt,Yakut,Turkic,Altaic,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
2619,yng,Yingkarta,Western Pama-Nyungan,Pama-Nyungan,Australia,2 SVO,1 SV,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
2624,yok,Yokuts (Yaudanchi),Yokuts,Penutian,North America,7 No dominant order,2 VS,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
2625,yor,Yoruba,Defoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2626,ypk,Yup'ik (Central),Eskimo,Eskimo-Aleut,North America,7 No dominant order,3 No dominant order,3 No dominant order,3 No dominant order,2 [V-Neg],4 None,4 [V-Neg],4 None
2635,ytu,Yukaghir (Tundra),Yukaghir,Yukaghir,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,2 [Neg-V],3 [Neg-V],4 None
2636,yuc,Yuchi,Yuchi,Yuchi,North America,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2638,yuk,Yukulta,Tangkic,Tangkic,Australia,2 SVO,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],1 NegV,14 ObligDoubleNeg,4 None
2639,yul,Yulu,Bongo-Bagirmi,Central Sudanic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
2641,yur,Yurok,Yurok,Algic,North America,7 No dominant order,1 SV,3 No dominant order,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
2643,yuw,Yuwaalaraay,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
2645,ywr,Yawuru,Nyulnyulan,Nyulnyulan,Australia,7 No dominant order,2 VS,3 No dominant order,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
2649,zag,Beria,Eastern Saharan,Saharan,Africa,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
2650,zai,Zapotec (Isthmus),Zapotecan,Oto-Manguean,North America,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2653,zan,Zande,Ubangi,Niger-Congo,Africa,2 SVO,1 SV,2 VO,1 Adjective-Noun,1 VNeg,4 None,14 ObligDoubleNeg,4 None
2654,zap,Zapotec (Mitla),Zapotecan,Oto-Manguean,North America,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
2656,zar,Zarma,Songhay,Songhay,Africa,7 No dominant order,1 SV,3 No dominant order,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2657,zay,Zayse,North Omotic,Afro-Asiatic,Africa,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
2658,zaz,Zazaki,Iranian,Indo-European,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
2659,zch,Zoque (Chimalapa),Mixe-Zoque,Mixe-Zoque,North America,2 SVO,1 SV,2 VO,1 Adjective-Noun,2 [V-Neg],1 NegV,15 OptDoubleNeg,4 None
2668,zqc,Zoque (Copainalá),Mixe-Zoque,Mixe-Zoque,North America,4 VOS,2 VS,2 VO,1 Adjective-Noun,4 None,3 NegV&[Neg-V],7 Type 1 / Type 3,4 None
2675,zul,Zulu,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,2 [V-Neg],2 [Neg-V],15 OptDoubleNeg,4 None
2676,zun,Zuni,Zuni,Zuni,North America,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],1 NegV,14 ObligDoubleNeg,4 None
2678,zzo,Zapotec (Zoogocho),Zapotecan,Oto-Manguean,North America,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
