,Name,genus,family,macroarea,longitude,latitude,"81A Order of Subject, Object and Verb",33A Coding of Nominal Plurality,51A Position of Case Affixes,143A Order of Negative Morpheme and Verb,"144A Position of Negative Word With Respect to Subject, Object, and Verb"
1305,Lezgian,Lezgic,Nakh-Daghestanian,Eurasia,47.8333333333,41.6666666667,1 SOV,2 Plural suffix,1 Case suffixes,4 [V-Neg],20 MorphNeg
1325,Lakhota,Core Siouan,Siouan,North America,-101.833333333,43.8333333333,1 SOV,7 Plural word,9 No case affixes or adpositional clitics,2 VNeg,8 SOVNeg
1368,Luvale,Bantoid,Niger-Congo,Africa,22.0,-12.0,2 SVO,1 Plural prefix,,14 ObligDoubleNeg,18 ObligDoubleNeg
1383,Malagasy,Barito,Austronesian,Africa,47.0,-20.0,4 VOS,9 No plural,7 Prepositional clitics,1 NegV,12 NegVOS
1386,Maori,Oceanic,Austronesian,Papunesia,176.0,-40.0,3 VSO,7 Plural word,9 No case affixes or adpositional clitics,1 NegV,1 NegSVO
1387,Mapudungun,Araucanian,Araucanian,South America,-72.0,-38.0,2 SVO,7 Plural word,1 Case suffixes,4 [V-Neg],20 MorphNeg
1388,Maricopa,Yuman,Hokan,North America,-113.166666667,33.1666666667,1 SOV,3 Plural stem change,6 Postpositional clitics,14 ObligDoubleNeg,18 ObligDoubleNeg
1390,Maung,Iwaidjan,Iwaidjan,Australia,133.5,-11.916666666700001,2 SVO,7 Plural word,9 No case affixes or adpositional clitics,1 NegV,2 SNegVO
1394,Maybrat,North-Central Bird's Head,West Papuan,Papunesia,132.5,-1.33333333333,2 SVO,9 No plural,2 Case prefixes,2 VNeg,4 SVONeg
1439,Meithei,Kuki-Chin,Sino-Tibetan,Eurasia,94.0,24.75,,,6 Postpositional clitics,4 [V-Neg],20 MorphNeg
1523,Mandarin,Chinese,Sino-Tibetan,Eurasia,110.0,34.0,2 SVO,2 Plural suffix,9 No case affixes or adpositional clitics,1 NegV,2 SNegVO
1579,Martuthunira,Western Pama-Nyungan,Pama-Nyungan,Australia,116.5,-20.8333333333,2 SVO,2 Plural suffix,1 Case suffixes,1 NegV,2 SNegVO
1629,Mixtec (Chalcatongo),Mixtecan,Oto-Manguean,North America,-97.5833333333,17.05,3 VSO,7 Plural word,9 No case affixes or adpositional clitics,1 NegV,9 NegVSO
